Raw_ID,ID,CPP_ID,PPP_ID,MS_ID,USZ_ID,Tissue,Batch,Date,Year,Month,Day
GUOT_PC4_170127_CPP217_SW,PPPB102,CPP217,PPP218,PC4,G_2009.0475,T,8,170127,17,1,27
GUOT_PC1_170213_CPP429_SW,PPPB103,CPP429,PPP139,PC1,G_2007.0916,N,16,170213,17,2,13
GUOT_170728_PC6_CPP628_SW,PPPB104,CPP628,CTRL10,PC6,NA,C,27,170728,17,7,28
GUOT_PC6_170727_CPP576_SW,PPPB105,CPP576,RP500,PC6,G_2011.0920,T,23,170727,17,7,27
GUOT_170731_PC1_CPP588B_SW,PPPB106,CPP588B,RP511,PC1,G_2011.1029,N,24,170731,17,7,31
GUOT_PC4_170227_CPP478_SW,PPPB107,CPP478,PPP409,PC4,G_2011.0247,N,18,170227,17,2,27
GUOT_PC3_170130_PCPOOL3_SW,PPPB108,PCPOOL3,PC15AQUA,PC3,NA,A,3,170130,17,1,30
GUOT_PC4_170224_CPP190_SW,PPPB109,CPP190,PPP193,PC4,G_2009.0296,N,7,170224,17,2,24
GUOT_PC3_170217_CPP215_SW,PPPB110,CPP215,RP216,PC3,G_2009.0470,T,8,170217,17,2,17
GUOT_170730_PC6_CPP695_SW,PPPB111,CPP695,PPP571,PC6,G_2012.0371,N,31,170730,17,7,30
GUOT_PC3_170206_CPP407_SW,PPPB112,CPP407,PPP386,PC3,G_2011.0010,T,15,170206,17,2,6
GUOT_PC1_170127_CPP122_SW,PPPB113,CPP122,PPP108,PC1,G_2008.0632,T,5,170127,17,1,27
GUOT_PC3_170215_CPP378_SW,PPPB114,CPP378,PPP360,PC3,G_2010.0653,T,14,170215,17,2,15
GUOT_PC2_170130_CPP158_SW,PPPB115,CPP158,PPP139,PC2,G_2007.0916,N,6,170130,17,1,30
GUOT_PC2_170130_CPP153_SW,PPPB116,CPP153,PPP135,PC2,G_2008.0894,N,6,170130,17,1,30
GUOT_PC3_170210_CPP510_SW,PPPB117,CPP510,PPP438,PC3,G_2011.0418,T,19,170210,17,2,10
GUOT_PC2_170127_CPP38_SW,PPPB118,CPP38,PPP35,PC2,G_2008.0090,N,2,170127,17,1,27
GUOT_PC2_170220_CPP311_SW,PPPB119,CPP311,PPP302,PC2,G_2010.0163,T,12,170220,17,2,20
GUOT_PC2_170206_CPP482_SW,PPPB120,CPP482,PPP413,PC2,G_2011.0276,N,18,170206,17,2,6
GUOT_PC3_170130_CPP171_SW,PPPB121,CPP171,PPP176,PC3,G_2009.0184,T,7,170130,17,1,30
GUOT_PC4_170130_PCPOOL13_SW,PPPB122,PCPOOL13,PC15AQUA,PC4,NA,A,12,170130,17,1,30
GUOT_PC4_170224_CPP167_SW,PPPB123,CPP167,PPP173,PC4,G_2009.0171,N,7,170224,17,2,24
GUOT_PC4_170224_CPP184_SW,PPPB124,CPP184,PPP187,PC4,G_2009.0271,N,7,170224,17,2,24
GUOT_PC2_170213_CPP106_SW,PPPB125,CPP106,PPP95,PC2,G_2008.0547,N,4,170213,17,2,13
GUOT_PC3_170130_CPP57B_SW,PPPB126,CPP57B,PPP53,PC3,G_2008.0197,N,3,170130,17,1,30
GUOT_PC4_170203_CPP15_SW,PPPB127,CPP15,PPP16,PC4,G_2007.0764,T,1,170203,17,2,3
GUOT_PC2_170213_CPP99_SW,PPPB128,CPP99,PPP89,PC2,G_2008.0506,N,4,170213,17,2,13
GUOT_PC1_170217_CPP265_SW,PPPB129,CPP265,PPP263,PC1,G_2009.0812,N,10,170217,17,2,17
GUOT_PC1_170127_CPP123_SW,PPPB130,CPP123,PPP109,PC1,G_2008.0647,N,5,170127,17,1,27
GUOT_PC3_170210_CPP501_SW,PPPB131,CPP501,PPP430,PC3,G_2011.0384,T,19,170210,17,2,10
GUOT_PC2_170215_CPP286_SW,PPPB132,CPP286,RP280,PC2,G_2010.0043,T,11,170215,17,2,15
